Dates,SX5E Index,DAX Index,UKX Index,SMI Index,SPX Index,CCMP Index,NDX Index,NKY Index,HSI Index,MXEF Index,MXWO Index,MXWD Index,USDR1T Curncy,EUDR1T Curncy,SFDR1T Curncy,BPDR1T Curncy,JYDR1T Curncy,SPI Index,NDUEAWXZ Index,VICASCI SW Equity,VICAAI1 SW Equity,STXAAIGV Index,CSRPAIS Index,SX5T Index,TUKXG Index,SMIC Index,SPXT Index,NDUEEGF Index,NDDUWI Index
1988-10-14,823.39,1289.59,1840.6,1559.5,275.5,384.59,175.37,27306.57,2593.0,131.29,461.4,113.27,,,,,,925.7,,,,,,758.79,525.72,,283.44,,748.52
1988-10-15,823.39,1289.59,1840.6,1559.5,275.5,384.59,175.37,27306.57,2593.0,131.29,461.4,113.27,,,,,,925.7,,,,,,758.79,525.72,,283.44,,748.52
1988-10-16,823.39,1289.59,1840.6,1559.5,275.5,384.59,175.37,27306.57,2593.0,131.29,461.4,113.27,,,,,,925.7,,,,,,758.79,525.72,,283.44,,748.52
1988-10-17,825.53,1282.99,1860.0,1554.7,276.41,385.01,175.78,27268.74,2593.56,131.47,463.29,113.74,,,,,,923.52,,,,,,760.76,531.6,,284.39,,748.52
1988-10-18,833.38,1295.79,1857.0,1555.3,279.38,386.25,176.99,27141.98,2590.41,132.4,463.88,113.9,,,,,,924.42,,,,,,768.0,530.69,,287.46,,748.52
1988-10-19,837.6,1304.37,1862.4,1573.6,276.97,385.76,176.99,27293.67,2590.41,131.79,464.19,113.96,,,,,,930.41,,,,,,771.89,532.25,,284.98,,748.52
1988-10-20,832.5,1295.21,1864.3,1577.5,282.88,388.62,180.37,27390.55,2584.04,130.73,468.78,115.08,,,,,,930.2,,,,,,767.19,532.81,,291.06,,748.52
1988-10-21,832.21,1289.72,1859.3,1590.2,283.66,388.59,179.74,27401.42,2581.69,130.93,470.98,115.6,,,,,,938.96,,,,,,766.92,531.53,,291.87,,748.52
1988-10-22,832.21,1289.72,1859.3,1590.2,283.66,388.59,179.74,27401.42,2581.69,130.93,470.98,115.6,,,,,,938.96,,,,,,766.92,531.53,,291.87,,748.52
1988-10-23,832.21,1289.72,1859.3,1590.2,283.66,388.59,179.74,27401.42,2581.69,130.93,470.98,115.6,,,,,,938.96,,,,,,766.92,531.53,,291.87,,748.52
